date,item,cloud_pct,mean_ndvi,mean_bsi,bare_pixels_ndvi,bare_area_m2_ndvi,bare_pixels_bsi,bare_area_m2_bsi,roi_pixels
2017-04-02,S2A_MSIL2A_20170402T093031_R136_T34TDN_20210209T040152,1.606,0.2518,0.141,889,88900,1478,147800,1600
2017-06-21,S2A_MSIL2A_20170621T093031_R136_T34TEN_20210210T003746,9.197,0.3081,0.0339,749,74900,952,95200,1600
2017-08-25,S2B_MSIL2A_20170825T093029_R136_T34TEN_20210201T103203,0.173,0.2485,0.1057,874,87400,1278,127800,1600
2017-10-19,S2A_MSIL2A_20171019T093031_R136_T34TDN_20201015T005213,2.477,0.224,0.1452,984,98400,1447,144700,1600
2018-04-22,S2B_MSIL2A_20180422T093029_R136_T34TEN_20201013T012503,0.085,0.2781,0.0731,829,82900,1343,134300,1600
2018-06-01,S2B_MSIL2A_20180601T093029_R136_T34TEN_20201026T113604,0.631,0.3008,0.0547,787,78700,1072,107200,1600
2018-08-10,S2B_MSIL2A_20180810T093029_R136_T34TEN_20201010T235726,1.31,0.2693,0.0614,937,93700,1032,103200,1600
2018-10-09,S2B_MSIL2A_20181009T093029_R136_T34TEN_20201030T223115,1.48,0.203,0.1591,1163,116300,1405,140500,1600
2019-04-22,S2A_MSIL2A_20190422T093041_R136_T34TEN_20201105T144704,4.602,0.1796,0.0989,1287,128700,1368,136800,1600
2019-06-16,S2B_MSIL2A_20190616T093039_R136_T34TDN_20201006T030254,7.192,0.2507,0.0474,976,97600,1159,115900,1600
2019-08-20,S2A_MSIL2A_20190820T093041_R136_T34TEN_20201005T023605,0.116,0.2444,0.1096,988,98800,1320,132000,1600
2019-10-14,S2B_MSIL2A_20191014T093039_R136_T34TEN_20201004T021929,0.147,0.2356,0.1836,1013,101300,1464,146400,1600
2020-04-16,S2A_MSIL2A_20200416T093031_R136_T34TEN_20200923T174404,1.206,0.22,0.1024,1109,110900,1379,137900,1600
2020-08-14,S2A_MSIL2A_20200814T093041_R136_T34TEN_20200816T054759,0.514,0.2049,0.1207,1223,122300,1429,142900,1600
2020-10-23,S2A_MSIL2A_20201023T093051_R136_T34TDN_20201029T022742,4.839,0.291,0.1443,828,82800,1394,139400,1600
2021-04-11,S2A_MSIL2A_20210411T093031_R136_T34TEN_20210523T115500,4.208,0.121,-0.0428,1561,156100,290,29000,1600
2021-06-05,S2B_MSIL2A_20210605T093039_R136_T34TEN_20210606T150031,7.153,0.1963,0.0577,1172,117200,1139,113900,1600
2021-08-24,S2B_MSIL2A_20210824T093029_R136_T34TDN_20210824T170926,0.275,0.1443,0.0644,1396,139600,1179,117900,1600
2021-10-03,S2B_MSIL2A_20211003T093039_R136_T34TDN_20211003T214932,14.758,0.2225,0.1221,1155,115500,1482,148200,1600
2022-04-06,S2A_MSIL2A_20220406T093041_R136_T34TEN_20240604T004206,0.001,0.076,0.0785,1543,154300,1550,155000,1599
2022-06-20,S2B_MSIL2A_20220620T093039_R136_T34TEN_20240630T014121,4.073,0.1357,0.0649,1395,139500,1198,119800,1600
2022-08-19,S2B_MSIL2A_20220819T092549_R136_T34TEN_20240703T121416,0.002,0.1157,0.0836,1556,155600,1562,156200,1600
2022-10-18,S2B_MSIL2A_20221018T092909_R136_T34TDN_20240731T214343,0.341,0.1262,0.0736,1446,144600,1426,142600,1600
2023-06-20,S2A_MSIL2A_20230620T093041_R136_T34TEN_20230620T174229,8.813,0.1494,0.0337,1313,131300,989,98900,1600
2023-08-04,S2B_MSIL2A_20230804T092559_R136_T34TDN_20241027T002717,0.005,0.1087,0.0847,1444,144400,1267,126700,1600
2023-10-03,S2B_MSIL2A_20231003T092729_R136_T34TDN_20231008T142132,0.552,0.0873,0.0862,1579,157900,1461,146100,1600
2024-04-10,S2B_MSIL2A_20240410T092549_R136_T34TEN_20240410T142711,4.937,0.0755,0.0644,1556,155600,1237,123700,1600
2024-06-19,S2B_MSIL2A_20240619T092549_R136_T34TDN_20240619T134858,1.045,0.0607,0.0535,1508,150800,1064,106400,1600
2024-08-08,S2B_MSIL2A_20240808T092559_R136_T34TEN_20240808T122517,0.004,0.0565,0.071,1593,159300,1166,116600,1600
2024-10-22,S2A_MSIL2A_20241022T093041_R136_T34TDN_20241022T125651,2.951,0.0082,-0.0403,1600,160000,0,0,1600
2025-04-22,S2A_MSIL2A_20250422T093141_R136_T34TEN_20250422T145612,13.45,0.0737,0.0463,1521,152100,1099,109900,1600
2025-06-24,S2B_MSIL2A_20250624T093039_R136_T34TEN_20250624T123147,0.406,0.0769,0.0625,1553,155300,1167,116700,1600
2025-08-10,S2A_MSIL2A_20250810T093051_R136_T34TEN_20250810T125901,0.0,0.0652,0.0868,1595,159500,1540,154000,1600
2025-10-09,S2A_MSIL2A_20251009T093051_R136_T34TDN_20251009T123218,12.443,0.0435,0.0834,1593,159300,1586,158600,1600
2026-04-27,S2A_MSIL2A_20260427T093151_R136_T34TDN_20260427T145259,0.325,0.0596,0.1089,1503,150300,1518,151800,1600
